Wavelength,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,602,604,606,608,610,612,614,616,618,620,622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652,654,656,658,660,662,664,666,668,670,672,674,676,678,680,682,684,686,688,690,692,694,696,698,700,702,704,706,708,710,712,714,716,718,720,722,724,726,728,730,732,734,736,738,740,742,744,746,748,750,752,754,756,758,760,762,764,766,768,770,772,774,776,778,780,782,784,786,788,790,792,794,796,798,800
Rohini,2.352,3.5,3.419,2.598,3.137,3.5,3.166,3.383,3.252,3.388,3.405,3.479,3.5,3.5,3.483,3.5,3.5,3.356,3.5,3.5,3.5,3.5,3.5,3.472,3.5,3.429,3.448,3.5,3.5,3.339,3.417,3.367,3.433,3.335,3.331,3.277,3.5,3.5,3.5,3.5,3.342,3.188,3.5,3.5,3.5,3.5,3.361,3.5,3.5,3.5,3.5,3.5,3.041,3.35,3.325,3.5,3.5,3.4,3.5,3.356,3.16,3.212,3.5,3.184,3.233,3.276,3.093,3.5,3.5,3.5,3.037,3.178,3.107,3.308,3.249,2.868,3.5,3.331,3.35,3.309,3.252,3.294,3.259,3.5,3.5,3.5,3.489,3.5,3.312,3.022,3.327,3.5,3.388,3.481,3.5,3.5,3.5,3.432,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.392,3.408,3.428,3.5,3.5,3.479,3.5,3.38,3.379,3.338,3.089,3.2,3.256,3.163,3.232,2.938,2.915,2.933,2.794,2.944,2.751,2.726,2.671,2.708,2.714,2.717,2.689,2.61,2.618,2.578,2.578,2.551,2.502,2.497,2.507,2.504,2.471,2.42,2.375,2.446,2.425,2.417,2.38,2.358,2.345,2.326,2.335,2.308,2.296,2.336,2.311,2.269,2.286,2.274,2.277,2.285,2.258,2.255,2.218,2.232,2.266,2.264,2.243,2.218,2.205,2.197,2.222,2.202,2.197,2.178,2.179,2.183,2.152,2.149,2.146,2.159,2.161,2.181,2.148,2.121,2.108,2.129,2.114,2.1,2.085,2.076,2.071,2.099,2.07,2.082,2.093,2.069,2.062,2.06,2.055,2.07,2.067,2.047,2.045,2.047,2.006,2.024,2.034,2.007,2.004,2,2.007,2.018,2.016,1.998,1.997,1.997,2.008,2.003,1.989,1.985,1.994,1.978,1.964,1.981,1.973,1.946,1.96,1.961,1.962,1.95,1.932,1.936,1.931,1.933,1.912,1.915,1.914,1.926,1.924,1.92,1.922,1.919,1.913,1.887,1.899,1.901,1.891,1.884,1.905,1.887,1.878,1.887,1.885,1.898,1.885,1.867,1.856,1.845,1.87,1.865,1.835,1.854,1.854,1.845,1.82,1.846,1.85,1.836,1.824,1.833,1.83,1.842,1.836,1.834,1.818,1.815,1.793,1.802,1.823,1.802,1.827,1.808,1.793,1.793,1.81,1.784,1.778,1.79,1.791
Rohini,2.744,3.5,3.449,3.091,3.5,3.5,3.225,3.329,3.5,3.5,3.431,3.5,3.5,3.5,3.5,3.409,3.5,3.358,3.5,3.5,3.5,3.434,3.5,3.5,3.5,3.421,3.464,3.5,3.5,3.456,3.348,3.336,3.5,3.5,3.372,3.433,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.321,3.324,3.5,3.5,3.5,3.5,3.5,3.451,3.265,3.5,3.465,3.5,3.402,3.389,3.5,3.5,3.374,3.5,3.382,3.32,3.5,3.5,3.232,2.995,3.5,3.434,3.5,3.411,3.409,3.365,3.5,3.5,3.5,3.5,3.5,3.5,3.007,3.187,3.5,3.49,3.5,3.445,3.5,3.5,3.389,3.5,3.5,3.5,3.5,3.5,3.5,3.478,3.5,3.247,3.24,3.138,3.131,3.135,3.036,3.052,2.992,2.951,2.949,2.9,2.813,2.853,2.855,2.827,2.81,2.769,2.756,2.741,2.723,2.713,2.638,2.676,2.61,2.499,2.626,2.492,2.579,2.421,2.42,2.319,2.29,2.287,2.208,2.179,2.16,2.187,2.125,2.106,2.061,2.065,2.045,2.015,1.996,1.979,1.966,1.956,1.929,1.904,1.897,1.906,1.873,1.863,1.859,1.843,1.841,1.839,1.827,1.808,1.791,1.79,1.788,1.789,1.781,1.769,1.754,1.745,1.743,1.733,1.731,1.722,1.716,1.71,1.699,1.698,1.692,1.692,1.682,1.679,1.671,1.663,1.662,1.66,1.654,1.652,1.641,1.639,1.636,1.645,1.628,1.632,1.633,1.621,1.614,1.616,1.617,1.619,1.607,1.603,1.606,1.593,1.577,1.584,1.581,1.572,1.57,1.572,1.574,1.573,1.573,1.57,1.564,1.565,1.563,1.567,1.564,1.564,1.558,1.553,1.55,1.554,1.547,1.537,1.544,1.542,1.538,1.535,1.533,1.53,1.523,1.524,1.522,1.52,1.516,1.525,1.523,1.518,1.516,1.51,1.515,1.508,1.507,1.51,1.511,1.506,1.503,1.503,1.504,1.501,1.494,1.505,1.496,1.496,1.492,1.49,1.496,1.494,1.484,1.484,1.488,1.486,1.477,1.488,1.486,1.486,1.479,1.478,1.481,1.493,1.479,1.472,1.466,1.469,1.46,1.465,1.472,1.471,1.478,1.466,1.457,1.458,1.464,1.454,1.458,1.462,1.459
Rohini,2.385,3.357,3.5,2.496,3.134,3.5,3.261,3.285,3.215,3.5,3.405,3.479,3.5,3.372,3.5,3.384,3.295,3.242,3.5,3.5,3.5,3.5,3.304,3.5,3.435,3.435,3.439,3.5,3.5,3.359,3.452,3.346,3.31,3.5,3.43,3.256,3.5,3.5,3.5,3.411,3.5,3.5,3.5,3.5,3.5,3.5,3.217,3.465,3.5,3.5,3.233,3.5,2.755,3.011,3.208,2.975,3.35,3.381,3.337,2.592,2.674,3.337,3.387,3.045,3.5,3.5,3.5,3.5,3.493,3.5,3.095,3.014,3.15,3.399,3.251,3.12,3.5,3.249,3.327,3.408,3.271,3.474,3.5,3.315,3.5,3.279,3.333,3.5,3.376,3.215,3.329,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.432,3.292,3.202,2.859,2.712,2.573,2.388,2.382,2.245,2.153,2.066,1.983,1.92,1.848,1.771,1.723,1.67,1.605,1.556,1.494,1.443,1.405,1.363,1.328,1.289,1.258,1.23,1.2,1.175,1.144,1.124,1.097,1.076,1.055,1.04,1.022,1.001,0.986,0.972,0.958,0.943,0.932,0.919,0.908,0.895,0.884,0.873,0.864,0.855,0.84,0.832,0.823,0.815,0.808,0.794,0.786,0.78,0.771,0.764,0.759,0.751,0.743,0.737,0.73,0.724,0.72,0.713,0.707,0.7,0.695,0.69,0.684,0.679,0.673,0.667,0.662,0.656,0.65,0.645,0.64,0.637,0.631,0.626,0.623,0.619,0.615,0.61,0.607,0.602,0.597,0.594,0.592,0.587,0.584,0.583,0.578,0.573,0.57,0.567,0.564,0.559,0.556,0.553,0.549,0.543,0.541,0.538,0.534,0.531,0.529,0.526,0.525,0.522,0.52,0.518,0.516,0.514,0.513,0.512,0.509,0.506,0.504,0.502,0.5,0.497,0.494,0.491,0.489,0.486,0.483,0.48,0.476,0.473,0.472,0.468,0.466,0.463,0.461,0.461,0.457,0.454,0.452,0.451,0.45,0.448,0.447,0.445,0.443,0.44,0.438,0.437,0.436,0.434,0.433,0.431,0.43,0.427,0.426,0.425,0.424,0.421,0.419,0.418,0.417,0.415,0.415,0.412,0.41,0.408,0.407,0.407,0.408,0.403,0.401,0.4,0.399,0.397,0.396,0.395,0.393,0.392,0.39,0.389,0.39,0.387,0.385,0.384,0.384,0.382
Amrita,2.29,3.369,3.114,2.51,2.906,3.16,2.731,2.775,3.054,3.49,3.325,3.324,3.5,3.369,3.331,3.217,3.207,3.167,3.227,3.328,3.165,3.175,3.35,3.469,3.5,3.266,3.183,3.482,3.5,3.004,3.358,3.367,3.5,3.5,3.23,3.345,3.5,3.5,3.5,3.481,3.405,3.5,3.5,3.5,3.5,3.5,3.222,3.164,3.5,3.5,3.216,3.266,3.026,3.193,3.435,3.117,3.5,3.238,3.191,2.764,3.02,3.019,3.084,3.074,2.613,3.105,3.089,3.5,3.247,3.003,2.75,2.954,3.017,3.28,3.097,2.972,3.304,3.31,3.16,2.865,3.203,3.125,3.31,3.404,3.5,3.5,3.5,3.5,3.313,3.33,3.266,3.096,3.5,3.483,3.5,3.5,3.341,3.191,3.239,3.061,3.015,2.892,2.763,2.664,2.6,2.537,2.475,2.29,2.135,2.176,2.023,1.991,1.916,1.89,1.872,1.79,1.728,1.68,1.681,1.652,1.628,1.534,1.504,1.48,1.448,1.431,1.387,1.376,1.372,1.341,1.32,1.296,1.286,1.259,1.251,1.226,1.218,1.2,1.187,1.168,1.154,1.144,1.133,1.125,1.115,1.115,1.105,1.096,1.083,1.07,1.065,1.057,1.054,1.042,1.036,1.033,1.021,1.013,1.01,0.999,0.996,0.993,0.987,0.976,0.968,0.962,0.962,0.959,0.952,0.947,0.939,0.936,0.932,0.925,0.922,0.915,0.908,0.903,0.899,0.891,0.888,0.882,0.878,0.876,0.872,0.863,0.862,0.859,0.853,0.85,0.844,0.839,0.836,0.838,0.831,0.828,0.825,0.818,0.812,0.81,0.807,0.804,0.799,0.795,0.793,0.786,0.78,0.776,0.772,0.768,0.763,0.761,0.758,0.757,0.754,0.749,0.746,0.743,0.743,0.741,0.739,0.736,0.731,0.728,0.724,0.724,0.72,0.714,0.71,0.708,0.704,0.701,0.698,0.694,0.69,0.688,0.682,0.679,0.676,0.674,0.674,0.669,0.664,0.664,0.661,0.656,0.655,0.654,0.653,0.649,0.645,0.64,0.641,0.637,0.635,0.635,0.631,0.628,0.624,0.621,0.62,0.62,0.615,0.614,0.609,0.608,0.606,0.605,0.601,0.598,0.596,0.593,0.591,0.593,0.586,0.582,0.581,0.581,0.575,0.573,0.573,0.571,0.57,0.566,0.561,0.561,0.56,0.558,0.555,0.554,0.551
Amrita,2.894,3.5,3.5,3.5,3.5,3.262,3.5,3.5,3.5,3.5,3.5,3.455,3.5,3.273,3.5,3.5,3.193,3.5,3.5,3.229,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.412,3.5,3.5,3.5,2.913,3.5,3.5,3.5,3.5,3.5,3.5,3.172,2.739,3.482,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.319,3.342,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.027,2.991,3.5,3.5,3.075,3.4,3.235,3.425,3.04,3.008,2.923,3.5,3.5,3.5,3.5,3.073,3.063,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.289,3.203,2.8,2.583,2.426,2.295,2.216,2.155,2.101,2.018,1.944,1.885,1.827,1.773,1.717,1.668,1.635,1.594,1.552,1.519,1.486,1.459,1.432,1.406,1.384,1.356,1.333,1.314,1.299,1.271,1.256,1.238,1.224,1.212,1.194,1.183,1.17,1.162,1.15,1.14,1.135,1.126,1.115,1.106,1.095,1.094,1.083,1.073,1.066,1.062,1.055,1.047,1.032,1.029,1.024,1.019,1.012,1.01,1.003,0.993,0.991,0.984,0.98,0.98,0.976,0.969,0.963,0.959,0.952,0.95,0.945,0.939,0.936,0.93,0.925,0.92,0.916,0.912,0.909,0.906,0.903,0.901,0.899,0.894,0.891,0.889,0.883,0.88,0.879,0.878,0.874,0.872,0.869,0.867,0.864,0.862,0.858,0.856,0.852,0.849,0.846,0.84,0.835,0.834,0.832,0.829,0.826,0.825,0.824,0.822,0.821,0.819,0.819,0.816,0.812,0.812,0.814,0.813,0.808,0.806,0.805,0.804,0.801,0.799,0.797,0.795,0.794,0.793,0.79,0.783,0.781,0.781,0.776,0.774,0.771,0.772,0.772,0.767,0.763,0.762,0.761,0.76,0.76,0.759,0.757,0.755,0.752,0.752,0.749,0.748,0.75,0.747,0.747,0.746,0.743,0.74,0.74,0.74,0.738,0.737,0.735,0.734,0.732,0.732,0.731,0.731,0.73,0.724,0.73,0.733,0.722,0.719,0.719,0.721,0.719,0.718,0.718,0.715,0.714,0.712,0.711,0.713,0.712,0.708,0.708,0.71,0.707
Amrita,2.831,3.5,3.336,2.826,2.8,3.366,2.773,3.244,3.275,3.5,3.341,3.315,3.5,3.5,3.478,3.469,3.419,3.372,3.408,3.361,3.5,3.5,3.415,3.5,3.5,3.413,3.35,3.5,3.5,3.257,3.5,3.5,3.5,3.5,3.487,3.471,3.5,3.5,3.5,3.488,3.156,3.5,3.5,3.5,3.5,3.5,3.201,3.5,3.418,3.5,3.5,3.5,2.767,3.261,3.5,3.5,3.5,3.5,3.1,3.287,3.292,3.404,3.462,3.296,3.404,3.266,3.081,3.5,3.5,3.377,3.5,3.34,3.182,3.044,3.446,3.012,3.5,3.5,3.5,2.851,3.375,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.266,3.188,3.471,3.452,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.269,3.069,2.932,2.839,2.752,2.668,2.603,2.549,2.514,2.474,2.439,2.41,2.288,2.356,2.332,2.247,2.286,2.267,2.247,2.229,2.114,2.047,2.05,1.88,1.931,1.775,1.749,1.719,1.649,1.567,1.522,1.477,1.41,1.377,1.319,1.273,1.239,1.19,1.151,1.122,1.088,1.057,1.029,1,0.972,0.948,0.926,0.903,0.884,0.864,0.841,0.824,0.809,0.793,0.779,0.76,0.749,0.737,0.723,0.713,0.702,0.692,0.679,0.671,0.661,0.652,0.645,0.638,0.628,0.619,0.612,0.605,0.597,0.591,0.584,0.577,0.57,0.563,0.557,0.551,0.546,0.542,0.536,0.53,0.525,0.52,0.516,0.512,0.508,0.501,0.497,0.493,0.49,0.485,0.481,0.478,0.473,0.469,0.466,0.462,0.458,0.453,0.45,0.447,0.442,0.436,0.433,0.429,0.426,0.423,0.42,0.417,0.415,0.413,0.41,0.408,0.404,0.402,0.401,0.399,0.397,0.393,0.39,0.388,0.386,0.383,0.38,0.378,0.375,0.373,0.371,0.368,0.365,0.362,0.361,0.358,0.355,0.353,0.352,0.352,0.348,0.345,0.344,0.343,0.341,0.341,0.34,0.338,0.336,0.333,0.332,0.331,0.33,0.329,0.328,0.326,0.326,0.323,0.322,0.321,0.321,0.319,0.317,0.316,0.316,0.315,0.314,0.312,0.31,0.309,0.308,0.309,0.311,0.305,0.303,0.303,0.303,0.302,0.301,0.301,0.3,0.298,0.296,0.295,0.297,0.295,0.294,0.293,0.293,0.292
Putana,2.218,2.744,3.5,3.5,3.5,3.496,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.144,3.324,3.401,3.5,3.5,3.325,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.259,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.309,2.901,3.5,3.5,3.5,3.5,3.5,3.143,3.5,3.5,3.5,2.928,3.087,2.78,3.352,3.5,3.5,3.5,3.5,3.5,3.5,3.403,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.35,3.5,3.5,3.5,3.5,3.5,2.957,3.5,3.313,3.5,3.5,3.5,3.5,3.5,3.42,2.924,3.5,3.407,3.289,3.017,2.709,2.856,2.737,2.358,2.045,1.781,1.552,1.376,1.229,1.106,1.006,0.927,0.855,0.785,0.737,0.695,0.659,0.626,0.597,0.567,0.541,0.516,0.494,0.472,0.452,0.433,0.417,0.399,0.383,0.37,0.359,0.347,0.337,0.327,0.318,0.31,0.302,0.293,0.286,0.279,0.273,0.268,0.263,0.257,0.252,0.248,0.244,0.24,0.236,0.232,0.23,0.226,0.221,0.218,0.216,0.214,0.21,0.207,0.204,0.202,0.199,0.196,0.193,0.19,0.189,0.186,0.183,0.181,0.179,0.177,0.175,0.173,0.172,0.171,0.17,0.167,0.165,0.163,0.161,0.159,0.158,0.156,0.154,0.153,0.151,0.149,0.148,0.146,0.145,0.144,0.143,0.142,0.141,0.139,0.138,0.136,0.135,0.134,0.133,0.132,0.131,0.13,0.129,0.129,0.127,0.127,0.125,0.124,0.122,0.122,0.121,0.118,0.116,0.116,0.115,0.114,0.113,0.113,0.112,0.111,0.111,0.111,0.11,0.109,0.107,0.107,0.108,0.107,0.106,0.106,0.105,0.105,0.104,0.104,0.103,0.102,0.102,0.101,0.101,0.1,0.099,0.098,0.096,0.096,0.096,0.095,0.095,0.094,0.093,0.094,0.093,0.093,0.093,0.093,0.092,0.092,0.092,0.091,0.091,0.091,0.091,0.09,0.09,0.09,0.091,0.089,0.09,0.091,0.089,0.088,0.088,0.088,0.087,0.088,0.088,0.088,0.088,0.087,0.088,0.088,0.085,0.086,0.086,0.086,0.086,0.086,0.086,0.085,0.085,0.084,0.085,0.085,0.084,0.082,0.082,0.082,0.084
Putana,3.06,3.5,3.5,3.5,3.5,2.739,3.193,3.5,3.5,3.5,3.5,3.334,3.5,3.244,3.5,3.5,3.5,3.5,3.5,3.054,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.24,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.868,3.5,3.5,3.203,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.213,2.769,2.92,3.5,3.246,3.272,3.5,3.5,3.5,3.136,3.5,3.5,3.5,3.5,3.133,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.001,2.693,2.379,2.131,1.914,1.727,1.566,1.444,1.332,1.224,1.146,1.078,1.016,0.966,0.916,0.87,0.825,0.784,0.746,0.709,0.674,0.641,0.61,0.58,0.551,0.527,0.507,0.487,0.467,0.449,0.433,0.418,0.403,0.388,0.377,0.366,0.355,0.345,0.337,0.328,0.318,0.311,0.304,0.297,0.291,0.284,0.279,0.273,0.267,0.262,0.258,0.253,0.248,0.242,0.239,0.235,0.23,0.226,0.222,0.219,0.216,0.212,0.209,0.206,0.203,0.2,0.197,0.194,0.192,0.19,0.188,0.185,0.182,0.179,0.177,0.174,0.173,0.17,0.167,0.166,0.163,0.161,0.159,0.157,0.155,0.154,0.152,0.151,0.149,0.147,0.145,0.144,0.142,0.141,0.139,0.138,0.136,0.135,0.134,0.133,0.131,0.131,0.129,0.127,0.125,0.124,0.123,0.12,0.118,0.118,0.117,0.116,0.115,0.113,0.113,0.112,0.112,0.111,0.11,0.108,0.106,0.106,0.107,0.107,0.105,0.104,0.104,0.104,0.103,0.102,0.101,0.1,0.099,0.098,0.098,0.097,0.095,0.094,0.092,0.092,0.091,0.091,0.09,0.09,0.088,0.088,0.088,0.088,0.088,0.088,0.086,0.086,0.085,0.085,0.085,0.085,0.084,0.084,0.084,0.084,0.084,0.083,0.083,0.084,0.082,0.081,0.081,0.081,0.08,0.08,0.081,0.08,0.08,0.08,0.081,0.081,0.078,0.078,0.078,0.077,0.077,0.077,0.077,0.078,0.076,0.076,0.076,0.077,0.076,0.074,0.075,0.074,0.075
Putana,3.227,2.59,3.5,3.5,3.5,3.068,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.35,3.316,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.173,2.757,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.07,3.5,3.5,3.5,3.5,3.5,3.346,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.132,3.051,3.5,3.5,3.5,3.5,3.5,3.041,2.57,2.244,2.099,1.926,1.775,1.648,1.551,1.447,1.354,1.288,1.22,1.16,1.112,1.063,1.015,0.967,0.924,0.88,0.84,0.802,0.765,0.731,0.696,0.662,0.634,0.608,0.584,0.56,0.536,0.516,0.495,0.476,0.455,0.44,0.424,0.41,0.397,0.385,0.374,0.361,0.35,0.341,0.332,0.323,0.315,0.306,0.298,0.291,0.285,0.28,0.274,0.268,0.261,0.256,0.252,0.246,0.241,0.236,0.232,0.229,0.224,0.221,0.218,0.215,0.211,0.209,0.205,0.202,0.2,0.197,0.194,0.191,0.188,0.185,0.183,0.181,0.177,0.175,0.173,0.171,0.168,0.166,0.164,0.163,0.161,0.159,0.158,0.155,0.152,0.151,0.15,0.148,0.146,0.145,0.144,0.142,0.14,0.139,0.138,0.135,0.134,0.133,0.132,0.13,0.128,0.127,0.125,0.122,0.122,0.12,0.119,0.118,0.116,0.117,0.116,0.115,0.114,0.113,0.112,0.111,0.111,0.111,0.11,0.109,0.109,0.108,0.108,0.106,0.105,0.104,0.103,0.102,0.101,0.1,0.099,0.097,0.096,0.095,0.094,0.093,0.092,0.093,0.092,0.09,0.09,0.09,0.09,0.091,0.09,0.089,0.089,0.088,0.087,0.087,0.087,0.087,0.086,0.086,0.086,0.086,0.085,0.085,0.085,0.085,0.084,0.083,0.084,0.083,0.082,0.083,0.083,0.083,0.082,0.083,0.083,0.08,0.08,0.081,0.08,0.079,0.08,0.08,0.081,0.079,0.078,0.079,0.079,0.078,0.077,0.077,0.077,0.077
